concat("https://git.educoder.net/", m.repo_name, ".git")	shixun_id	name
https://git.educoder.net/p13789620/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p80796243/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p25760184/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/m20354917/nuj9lbwv.git	97	C++之递归函数应用（I）
https://git.educoder.net/m20354917/stewl573.git	96	C++之函数应用
https://git.educoder.net/p71890256/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p05348769/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p48602173/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p85704261/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p42387095/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p81572036/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p75960143/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p70981624/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p27930618/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p07345186/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p87309214/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p52871390/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p95087341/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p07623591/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p27568419/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p85762409/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p09847152/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p45308162/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p50123984/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p86017524/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p52371680/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p57248061/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p74589026/zlg2nmcf.git	70	数据结构与算法-线性表
https://git.educoder.net/p43651029/zlg2nmcf.git	70	数据结构与算法-线性表
